task_id,issue_type,story_points,priority,team,current_stage,previous_stages_count,num_dependencies,entered_stage_date,next_stage_date,days_in_stage
T-0310,Feature,8,Medium,Team B,In Review,2,4,2024-05-02,2024-05-08,5.73
T-0311,Bug,1,Medium,Team B,In Progress,2,1,2024-03-26,2024-03-31,4.71
T-0312,Feature,8,High,Team B,Testing,2,0,2024-06-19,2024-06-26,6.91
T-0313,Feature,3,Medium,Team B,Backlog,3,3,2024-03-17,2024-03-22,5.36
T-0314,Spike,8,High,Team A,In Review,3,3,2024-05-15,2024-05-20,4.69
T-0315,Task,3,Critical,Team A,Testing,0,1,2024-02-28,2024-03-02,2.86
T-0316,Bug,5,Low,Team B,Backlog,1,4,2024-01-12,2024-01-19,6.74
T-0317,Bug,3,Medium,Team B,In Review,0,3,2024-01-04,2024-01-07,3.44
T-0318,Feature,5,Medium,Team A,Backlog,3,3,2024-04-26,2024-05-04,7.65
T-0319,Feature,1,Medium,Team C,In Progress,2,4,2024-04-04,2024-04-09,5.29
T-0320,Feature,1,Medium,Team C,In Progress,3,0,2024-05-04,2024-05-11,6.61
T-0321,Bug,2,High,Team B,In Progress,1,3,2024-02-10,2024-02-14,4.24
T-0322,Task,2,High,Team A,Testing,0,2,2024-05-02,2024-05-06,3.74
T-0323,Bug,8,Medium,Team C,In Progress,0,5,2024-01-07,2024-01-15,8.24
T-0324,Feature,2,Medium,Team B,In Progress,2,5,2024-03-09,2024-03-18,9.07
T-0325,Spike,13,High,Team C,In Review,0,3,2024-03-09,2024-03-13,4.05
T-0326,Task,2,Critical,Team C,Testing,0,0,2024-03-21,2024-03-24,3.06
T-0327,Bug,2,High,Team C,Backlog,3,0,2024-01-30,2024-02-02,3.09
T-0328,Bug,5,Low,Team B,Testing,0,1,2024-03-13,2024-03-21,7.78
T-0329,Bug,5,Medium,Team A,Backlog,0,2,2024-01-06,2024-01-10,3.61
T-0330,Feature,3,Low,Team B,In Review,0,0,2024-03-29,2024-04-02,4.13
T-0331,Feature,3,Medium,Team B,In Progress,2,4,2024-05-26,2024-06-04,9.43
T-0332,Task,5,Low,Team B,Backlog,2,2,2024-03-06,2024-03-14,8.48
T-0333,Feature,2,Medium,Team A,In Progress,3,5,2024-01-10,2024-01-19,8.73
T-0334,Feature,13,Medium,Team A,In Progress,0,2,2024-05-23,2024-06-03,11.38
T-0335,Feature,13,Low,Team C,In Progress,2,4,2024-02-06,2024-02-25,19.3
T-0336,Feature,5,Medium,Team B,Backlog,2,3,2024-03-17,2024-03-25,7.61
T-0337,Task,2,Medium,Team C,In Progress,3,4,2024-03-17,2024-03-21,4.4
T-0338,Task,5,Medium,Team C,Testing,1,4,2024-02-01,2024-02-07,5.81
T-0339,Bug,1,Low,Team B,In Progress,0,3,2024-02-16,2024-02-24,8.17
T-0340,Feature,1,Medium,Team B,Backlog,2,3,2024-04-19,2024-04-24,4.82
T-0341,Bug,2,High,Team C,In Progress,3,3,2024-06-19,2024-06-23,3.78
T-0342,Bug,3,Low,Team B,Backlog,3,3,2024-04-29,2024-05-06,6.63
T-0343,Feature,8,Low,Team B,In Review,3,3,2024-06-12,2024-06-19,7.38
T-0344,Bug,5,Medium,Team A,In Review,2,4,2024-06-02,2024-06-05,3.42
T-0345,Feature,5,High,Team B,In Progress,0,1,2024-01-10,2024-01-17,7.22
T-0346,Bug,3,Medium,Team B,In Progress,1,1,2024-06-07,2024-06-14,7.27
T-0347,Bug,2,Medium,Team A,In Review,0,0,2024-04-06,2024-04-06,0.5
T-0348,Feature,3,Medium,Team A,In Progress,3,1,2024-06-05,2024-06-12,6.74
T-0349,Feature,13,Medium,Team A,In Review,3,5,2024-01-05,2024-01-13,8.1
T-0350,Bug,1,Low,Team A,In Progress,1,1,2024-03-17,2024-03-23,5.95
T-0351,Bug,8,Medium,Team A,In Review,0,4,2024-01-01,2024-01-07,5.67
T-0352,Task,3,High,Team B,In Progress,3,3,2024-05-10,2024-05-15,5.05
T-0353,Bug,3,Medium,Team C,In Progress,3,3,2024-03-07,2024-03-11,4.12
T-0354,Feature,5,High,Team B,Testing,0,4,2024-06-11,2024-06-18,7.48
T-0355,Feature,3,High,Team A,In Progress,3,5,2024-01-15,2024-01-23,7.71
T-0356,Bug,8,Low,Team A,In Progress,0,1,2024-04-02,2024-04-11,8.56
T-0357,Feature,8,High,Team B,Backlog,3,4,2024-01-30,2024-02-07,8.18
T-0358,Bug,3,Low,Team A,In Progress,0,0,2024-04-12,2024-04-18,6.28
T-0359,Spike,2,Medium,Team C,In Progress,1,3,2024-03-22,2024-03-28,6.48
T-0360,Bug,3,Low,Team B,Backlog,3,2,2024-03-15,2024-03-22,6.99
T-0361,Feature,8,Low,Team C,Backlog,1,0,2024-06-19,2024-06-27,7.99
T-0362,Bug,2,Medium,Team A,In Progress,3,5,2024-02-29,2024-03-08,8.32
T-0363,Bug,5,Medium,Team B,In Review,3,0,2024-02-09,2024-02-13,4.34
T-0364,Bug,5,Medium,Team A,In Progress,2,4,2024-06-05,2024-06-14,8.99
T-0365,Spike,5,Medium,Team C,Backlog,0,1,2024-03-14,2024-03-18,4.41
T-0366,Feature,1,Low,Team B,In Progress,1,3,2024-04-30,2024-05-09,8.92
T-0367,Spike,5,Low,Team A,Backlog,1,5,2024-05-26,2024-06-05,10.14
T-0368,Spike,8,Medium,Team A,In Progress,1,5,2024-01-03,2024-01-14,10.71
T-0369,Feature,2,Medium,Team A,Backlog,0,2,2024-02-05,2024-02-10,5.46
T-0370,Feature,2,High,Team B,Backlog,2,0,2024-02-12,2024-02-17,4.52
T-0371,Feature,13,Medium,Team A,Backlog,1,2,2024-05-22,2024-05-31,8.79
T-0372,Feature,2,High,Team B,In Progress,0,1,2024-06-17,2024-06-22,5.05
T-0373,Feature,8,Medium,Team A,Backlog,3,1,2024-04-24,2024-05-02,8.31
T-0374,Bug,3,Medium,Team B,In Progress,1,2,2024-04-18,2024-04-24,5.81
T-0375,Feature,2,Medium,Team C,In Progress,1,3,2024-03-30,2024-04-06,7.41
T-0376,Feature,8,Medium,Team C,In Progress,2,1,2024-06-12,2024-06-21,8.65
T-0377,Task,3,Medium,Team C,In Progress,1,2,2024-03-24,2024-03-31,6.52
T-0378,Feature,3,High,Team A,In Review,1,0,2024-03-17,2024-03-19,2.47
T-0379,Task,3,Medium,Team A,Backlog,3,2,2024-06-09,2024-06-16,6.9
T-0380,Feature,3,High,Team B,In Progress,0,2,2024-01-05,2024-01-10,5.29
T-0381,Feature,2,High,Team A,Backlog,0,4,2024-03-18,2024-03-22,3.6
T-0382,Bug,3,High,Team B,Backlog,2,1,2024-03-31,2024-04-03,2.6
T-0383,Bug,13,High,Team A,In Progress,3,3,2024-03-27,2024-04-04,8.34
T-0384,Task,2,Medium,Team A,In Progress,0,3,2024-01-14,2024-01-20,6.38
T-0385,Task,5,Medium,Team A,In Review,3,4,2024-04-13,2024-04-19,5.7
T-0386,Task,2,Medium,Team C,In Progress,0,5,2024-03-23,2024-03-30,6.82
T-0387,Feature,5,Medium,Team A,Testing,3,3,2024-06-23,2024-06-30,6.88
T-0388,Feature,1,Medium,Team B,Backlog,2,2,2024-02-23,2024-02-28,4.52
T-0389,Task,13,High,Team A,Backlog,1,4,2024-05-11,2024-05-19,8.14
T-0390,Task,3,Medium,Team B,Backlog,2,0,2024-04-04,2024-04-08,4.17
T-0391,Spike,2,Medium,Team A,Backlog,0,1,2024-01-09,2024-01-13,3.54
T-0392,Bug,1,Low,Team C,In Progress,2,1,2024-02-22,2024-02-28,5.51
T-0393,Feature,2,Medium,Team C,In Progress,1,1,2024-03-17,2024-03-21,4.01
T-0394,Task,3,Low,Team A,Backlog,2,2,2024-02-29,2024-03-05,5.25
T-0395,Feature,2,High,Team C,Testing,0,0,2024-02-15,2024-02-20,4.52
T-0396,Spike,8,Medium,Team C,In Review,0,4,2024-02-23,2024-02-27,4.0
T-0397,Task,3,Low,Team C,In Progress,2,4,2024-03-14,2024-03-22,8.09
T-0398,Bug,2,Low,Team C,Backlog,1,1,2024-04-21,2024-04-26,4.55
T-0399,Task,5,Medium,Team A,Backlog,2,0,2024-04-04,2024-04-09,5.05
T-0400,Task,5,Medium,Team B,Backlog,1,0,2024-06-13,2024-06-18,5.25
T-0401,Feature,2,Medium,Team A,Backlog,3,0,2024-01-23,2024-01-26,2.95
T-0402,Spike,2,Low,Team A,In Progress,1,3,2024-01-27,2024-02-06,10.19
T-0403,Bug,1,Medium,Team C,Backlog,3,3,2024-03-10,2024-03-14,3.57
T-0404,Task,5,Medium,Team A,In Progress,2,1,2024-04-18,2024-04-26,8.04
T-0405,Feature,5,Medium,Team B,Testing,1,0,2024-03-17,2024-03-22,5.46
T-0406,Task,3,Medium,Team C,In Progress,3,5,2024-06-27,2024-07-05,8.46
T-0407,Feature,8,Medium,Team C,Testing,3,0,2024-02-19,2024-02-27,7.53
T-0408,Feature,8,Medium,Team C,Backlog,3,4,2024-05-03,2024-05-11,7.93
T-0409,Spike,3,Critical,Team A,In Progress,0,4,2024-01-19,2024-01-25,5.5
T-0410,Feature,8,Medium,Team A,In Progress,2,1,2024-01-01,2024-01-09,8.26
T-0411,Feature,2,Medium,Team B,Backlog,3,5,2024-02-09,2024-02-16,7.28
T-0412,Spike,1,Low,Team A,Backlog,1,0,2024-06-08,2024-06-14,6.38
T-0413,Spike,2,Medium,Team A,In Progress,3,5,2024-01-22,2024-01-31,9.36
T-0414,Bug,1,Low,Team A,In Progress,0,1,2024-04-21,2024-04-28,7.43
T-0415,Bug,3,Medium,Team C,In Progress,2,4,2024-02-09,2024-02-16,6.72
T-0416,Bug,8,Critical,Team B,In Progress,0,4,2024-02-07,2024-02-12,5.43
T-0417,Feature,1,Medium,Team A,In Progress,0,3,2024-02-17,2024-02-25,8.13
T-0418,Feature,1,Low,Team B,Backlog,0,1,2024-03-15,2024-03-22,7.11
T-0419,Bug,3,Low,Team A,In Progress,1,1,2024-06-27,2024-07-03,5.55
T-0420,Task,8,Medium,Team A,Backlog,2,0,2024-04-16,2024-04-21,5.31
T-0421,Task,2,Low,Team C,Backlog,2,0,2024-01-08,2024-01-12,4.06
T-0422,Task,3,Low,Team B,Testing,1,3,2024-03-26,2024-04-03,7.92
T-0423,Feature,1,High,Team C,In Progress,2,2,2024-03-08,2024-03-13,5.07
T-0424,Bug,1,Medium,Team A,In Review,0,5,2024-03-15,2024-03-18,3.12
T-0425,Feature,13,Medium,Team C,In Progress,2,2,2024-05-16,2024-05-27,10.75
T-0426,Bug,13,High,Team B,In Progress,1,2,2024-03-30,2024-04-08,8.61
T-0427,Bug,1,Low,Team B,Backlog,0,1,2024-05-09,2024-05-14,4.63
T-0428,Task,13,Critical,Team B,Backlog,1,5,2024-03-20,2024-03-25,5.29
T-0429,Feature,5,Medium,Team C,Backlog,3,1,2024-04-04,2024-04-09,5.09
T-0430,Feature,8,High,Team B,In Review,0,5,2024-03-10,2024-03-16,6.0
T-0431,Feature,3,Medium,Team B,In Progress,0,4,2024-03-30,2024-04-06,7.18
T-0432,Task,3,High,Team C,In Progress,2,1,2024-02-28,2024-03-05,5.82
T-0433,Bug,3,Critical,Team C,In Progress,0,1,2024-05-26,2024-05-30,3.73
T-0434,Feature,5,Medium,Team B,Testing,1,1,2024-01-28,2024-02-03,6.16
T-0435,Feature,1,Critical,Team B,Backlog,2,3,2024-03-12,2024-03-15,2.81
T-0436,Task,1,Medium,Team A,In Progress,3,1,2024-01-14,2024-01-20,6.08
T-0437,Feature,2,Medium,Team A,In Progress,1,0,2024-01-24,2024-01-29,4.91
T-0438,Task,5,Medium,Team B,In Review,3,0,2024-04-21,2024-04-24,3.38
T-0439,Task,2,Medium,Team C,Testing,3,5,2024-02-13,2024-02-18,5.29
T-0440,Feature,5,Low,Team C,Backlog,3,4,2024-02-25,2024-03-03,7.29
T-0441,Feature,13,Medium,Team A,In Review,0,3,2024-04-29,2024-05-04,4.96
T-0442,Spike,1,Medium,Team B,In Review,1,5,2024-06-27,2024-07-01,4.05
T-0443,Feature,5,High,Team A,Backlog,1,0,2024-02-01,2024-02-06,4.54
T-0444,Feature,3,High,Team C,In Progress,0,3,2024-06-26,2024-07-01,4.62
T-0445,Task,8,Medium,Team C,In Progress,2,3,2024-06-17,2024-06-26,8.95
T-0446,Spike,2,Medium,Team B,Testing,3,4,2024-01-25,2024-01-31,6.02
T-0447,Spike,5,Medium,Team C,Backlog,1,3,2024-04-25,2024-05-02,7.26
T-0448,Task,8,Low,Team B,In Review,0,1,2024-03-06,2024-03-12,5.93
T-0449,Feature,8,Low,Team B,In Progress,3,3,2024-02-11,2024-02-28,16.72
T-0450,Feature,5,Medium,Team A,In Review,2,4,2024-06-12,2024-06-17,5.04
T-0451,Task,3,Medium,Team B,In Progress,2,5,2024-03-16,2024-03-25,8.94
T-0452,Bug,5,Critical,Team B,In Progress,3,4,2024-05-16,2024-05-21,5.1
T-0453,Bug,8,Medium,Team B,In Review,2,4,2024-06-12,2024-06-18,6.15
T-0454,Spike,3,Medium,Team A,In Review,1,0,2024-02-07,2024-02-10,3.4
T-0455,Feature,1,Medium,Team C,In Review,1,1,2024-06-09,2024-06-11,2.45
T-0456,Bug,8,Low,Team A,Backlog,1,0,2024-06-18,2024-06-25,6.63
T-0457,Feature,5,Medium,Team B,In Progress,2,5,2024-03-01,2024-03-12,11.25
T-0458,Bug,5,Medium,Team B,Backlog,1,2,2024-06-22,2024-06-27,5.43
T-0459,Feature,2,Medium,Team B,In Progress,0,5,2024-03-29,2024-04-07,8.55
T-0460,Feature,5,Medium,Team B,In Progress,1,1,2024-01-18,2024-01-26,7.78
T-0461,Feature,3,Critical,Team A,In Progress,1,3,2024-03-10,2024-03-14,3.67
T-0462,Bug,5,High,Team A,In Progress,2,4,2024-03-22,2024-03-29,6.53
T-0463,Task,1,Medium,Team B,Testing,1,2,2024-04-25,2024-04-29,4.43
T-0464,Bug,5,Medium,Team B,Backlog,3,1,2024-03-20,2024-03-27,6.51
T-0465,Spike,13,Medium,Team A,In Progress,0,0,2024-01-15,2024-01-26,11.37
T-0466,Feature,1,Medium,Team B,In Progress,2,4,2024-06-24,2024-07-01,7.39
T-0467,Feature,13,Medium,Team B,Backlog,0,5,2024-01-13,2024-01-25,12.24
T-0468,Task,3,Low,Team B,Backlog,3,0,2024-04-28,2024-05-06,7.66
T-0469,Feature,8,Medium,Team C,Testing,2,1,2024-02-12,2024-02-19,7.0
T-0470,Spike,5,Medium,Team A,In Review,2,1,2024-02-26,2024-03-02,4.77
T-0471,Feature,3,Medium,Team A,Testing,1,5,2024-01-17,2024-01-23,5.94
T-0472,Spike,5,Critical,Team C,Testing,0,2,2024-06-26,2024-06-30,4.3
T-0473,Feature,8,High,Team B,Backlog,3,5,2024-02-01,2024-02-09,8.02
T-0474,Task,3,High,Team B,In Progress,3,3,2024-05-29,2024-06-05,6.93
T-0475,Bug,2,Medium,Team C,In Progress,2,0,2024-02-24,2024-03-02,6.57
T-0476,Spike,5,High,Team C,In Progress,1,2,2024-01-13,2024-01-20,6.98
T-0477,Feature,8,Low,Team C,In Progress,2,4,2024-02-16,2024-02-29,13.44
T-0478,Bug,5,High,Team B,In Progress,2,3,2024-03-27,2024-04-02,6.27
T-0479,Spike,5,Low,Team B,In Progress,2,2,2024-03-02,2024-03-15,13.44
T-0480,Bug,3,High,Team B,In Progress,2,0,2024-01-29,2024-02-03,5.42
T-0481,Bug,8,Medium,Team A,Backlog,3,1,2024-01-22,2024-01-28,6.1
T-0482,Bug,1,High,Team B,In Progress,3,4,2024-03-05,2024-03-10,4.84
T-0483,Bug,3,High,Team A,In Progress,2,5,2024-01-29,2024-02-03,5.04
T-0484,Bug,1,Low,Team C,In Progress,2,0,2024-02-17,2024-02-23,5.5
T-0485,Bug,2,Medium,Team B,Backlog,1,3,2024-01-05,2024-01-10,4.77
T-0486,Spike,3,Critical,Team B,In Review,2,3,2024-06-11,2024-06-14,3.23
T-0487,Feature,3,Medium,Team A,Backlog,3,1,2024-04-10,2024-04-16,6.01
T-0488,Feature,5,High,Team A,In Progress,0,1,2024-03-11,2024-03-19,7.83
T-0489,Spike,3,Medium,Team A,In Review,3,4,2024-06-22,2024-06-25,3.42
T-0490,Task,3,Medium,Team B,In Progress,1,5,2024-06-11,2024-06-20,9.03
T-0491,Bug,2,Medium,Team A,In Progress,3,4,2024-06-21,2024-06-27,6.44
T-0492,Bug,3,Medium,Team B,In Progress,0,1,2024-05-20,2024-05-24,4.28
T-0493,Feature,2,High,Team C,In Progress,2,1,2024-05-17,2024-05-23,5.72
T-0494,Feature,1,Medium,Team C,In Review,0,3,2024-03-06,2024-03-09,3.12
T-0495,Bug,5,Medium,Team B,In Review,2,1,2024-03-12,2024-03-16,4.29
T-0496,Feature,5,Medium,Team A,In Progress,2,2,2024-01-25,2024-02-01,6.92
T-0497,Bug,5,Medium,Team C,In Progress,3,0,2024-06-20,2024-06-26,5.72
T-0498,Feature,3,High,Team C,Backlog,3,1,2024-02-29,2024-03-03,3.15
T-0499,Spike,3,Critical,Team A,In Progress,3,4,2024-06-23,2024-06-30,7.24
T-0500,Spike,8,Medium,Team B,In Progress,1,5,2024-02-09,2024-02-24,15.0
T-0501,Bug,3,High,Team A,In Progress,3,5,2024-01-07,2024-01-12,5.27
T-0502,Bug,3,High,Team C,In Progress,1,5,2024-06-22,2024-06-26,3.81
T-0503,Feature,1,Medium,Team C,In Progress,3,2,2024-05-30,2024-06-05,6.18
T-0504,Task,2,Critical,Team A,Backlog,2,4,2024-02-15,2024-02-19,3.92
T-0505,Bug,3,Medium,Team C,In Progress,1,2,2024-03-26,2024-03-30,3.93
T-0506,Feature,3,Low,Team B,In Progress,0,1,2024-05-20,2024-05-28,8.4
T-0507,Spike,3,High,Team C,In Review,1,0,2024-01-21,2024-01-23,1.61
T-0508,Task,3,Medium,Team B,Backlog,1,5,2024-01-01,2024-01-08,7.05
T-0509,Spike,5,High,Team C,In Progress,0,4,2024-05-02,2024-05-09,6.71
T-0510,Task,5,High,Team A,Testing,1,5,2024-05-26,2024-05-31,4.84
T-0511,Bug,8,Low,Team A,Backlog,2,2,2024-05-04,2024-05-12,8.06
T-0512,Bug,5,High,Team A,In Progress,3,3,2024-02-02,2024-02-07,5.31
T-0513,Spike,13,Medium,Team C,Backlog,0,1,2024-01-04,2024-01-11,7.26
T-0514,Task,1,Medium,Team C,In Progress,3,0,2024-01-03,2024-01-09,5.9
T-0515,Feature,2,Medium,Team C,In Progress,2,1,2024-03-31,2024-04-07,7.07
T-0516,Feature,1,High,Team C,In Progress,0,3,2024-02-21,2024-02-26,4.59
T-0517,Feature,5,Low,Team A,In Progress,3,0,2024-01-28,2024-02-07,10.07
T-0518,Task,8,Medium,Team A,In Review,3,3,2024-03-10,2024-03-16,6.02
T-0519,Spike,2,Medium,Team A,Backlog,2,1,2024-02-26,2024-03-02,5.21
T-0520,Feature,8,High,Team A,Backlog,3,2,2024-04-17,2024-04-23,5.89
T-0521,Bug,1,Medium,Team A,In Review,2,1,2024-05-23,2024-05-25,2.36
T-0522,Feature,8,Low,Team B,In Progress,1,1,2024-01-24,2024-02-07,14.42
T-0523,Spike,3,Medium,Team A,In Review,2,1,2024-06-17,2024-06-21,3.71
T-0524,Task,1,Medium,Team A,In Progress,1,4,2024-03-17,2024-03-22,5.38
T-0525,Task,3,High,Team A,In Review,0,3,2024-06-23,2024-06-26,2.63
T-0526,Bug,2,Medium,Team A,In Progress,3,3,2024-03-16,2024-03-23,6.54
T-0527,Bug,2,Medium,Team C,In Review,2,5,2024-03-09,2024-03-12,3.48
T-0528,Feature,2,Critical,Team C,Testing,2,3,2024-04-10,2024-04-13,3.45
T-0529,Feature,8,Low,Team C,In Progress,3,5,2024-06-07,2024-06-22,14.52
T-0530,Task,3,Critical,Team B,Backlog,3,4,2024-04-01,2024-04-06,4.58
T-0531,Task,2,Medium,Team A,In Progress,0,2,2024-04-01,2024-04-06,5.49
T-0532,Spike,5,High,Team C,Backlog,0,5,2024-01-30,2024-02-04,4.97
T-0533,Spike,5,Medium,Team A,Backlog,2,1,2024-01-18,2024-01-25,6.97
T-0534,Bug,2,Low,Team A,In Progress,0,2,2024-02-13,2024-02-19,6.04
T-0535,Task,3,High,Team A,In Progress,1,4,2024-06-03,2024-06-07,4.33
T-0536,Spike,1,High,Team A,In Progress,0,3,2024-04-08,2024-04-12,4.31
T-0537,Task,2,High,Team A,In Progress,0,5,2024-06-02,2024-06-07,5.04
T-0538,Feature,5,Low,Team A,In Progress,2,1,2024-04-30,2024-05-11,10.56
T-0539,Bug,2,High,Team B,Backlog,1,0,2024-04-24,2024-04-26,2.44
T-0540,Feature,3,High,Team A,Backlog,0,0,2024-02-29,2024-03-03,3.24
T-0541,Spike,5,Medium,Team A,Backlog,1,2,2024-05-25,2024-05-30,5.49
T-0542,Bug,1,High,Team C,In Progress,1,3,2024-02-25,2024-03-01,4.61
T-0543,Feature,3,High,Team A,Backlog,1,0,2024-01-31,2024-02-05,4.98
T-0544,Bug,2,Medium,Team A,In Progress,3,2,2024-04-10,2024-04-17,6.95
T-0545,Bug,13,Low,Team C,In Progress,3,4,2024-02-28,2024-03-15,15.82
T-0546,Feature,3,Medium,Team A,In Review,3,2,2024-05-03,2024-05-07,4.44
T-0547,Feature,8,Low,Team A,Backlog,3,2,2024-05-09,2024-05-17,8.47
T-0548,Bug,3,Medium,Team B,In Progress,2,2,2024-04-06,2024-04-13,6.89
T-0549,Bug,1,Medium,Team A,In Progress,0,1,2024-06-15,2024-06-19,3.84
T-0550,Task,5,Low,Team B,In Review,3,2,2024-04-16,2024-04-23,6.58
T-0551,Bug,13,Medium,Team C,Testing,2,5,2024-01-18,2024-01-25,6.73
T-0552,Task,5,Low,Team A,Backlog,0,2,2024-05-24,2024-05-31,6.82
T-0553,Bug,8,High,Team B,Backlog,3,1,2024-06-15,2024-06-20,5.33
T-0554,Bug,8,High,Team B,In Review,0,1,2024-03-11,2024-03-15,4.08
T-0555,Task,2,Low,Team A,In Progress,3,4,2024-04-15,2024-04-25,10.42
T-0556,Bug,2,Critical,Team B,In Progress,2,3,2024-02-23,2024-02-26,3.22
T-0557,Feature,5,Medium,Team A,In Progress,1,0,2024-04-03,2024-04-09,6.22
T-0558,Feature,3,Medium,Team B,In Progress,1,0,2024-03-16,2024-03-23,7.09
T-0559,Task,8,Low,Team A,Testing,0,2,2024-02-04,2024-02-13,9.39
T-0560,Bug,8,Medium,Team B,Testing,2,4,2024-01-11,2024-01-19,7.92
T-0561,Task,3,High,Team A,In Review,1,2,2024-03-01,2024-03-02,1.47
T-0562,Feature,2,High,Team C,In Progress,3,0,2024-02-13,2024-02-17,4.13
T-0563,Feature,5,Low,Team A,In Review,1,1,2024-04-30,2024-05-05,4.98
T-0564,Feature,2,Low,Team B,Backlog,0,3,2024-03-08,2024-03-15,7.36
T-0565,Feature,8,Medium,Team B,Backlog,0,4,2024-01-25,2024-02-02,8.18
T-0566,Bug,3,Medium,Team B,In Review,2,1,2024-06-24,2024-06-27,2.67
T-0567,Feature,5,Medium,Team B,In Progress,0,3,2024-06-08,2024-06-16,8.4
T-0568,Bug,1,Medium,Team B,Backlog,1,4,2024-03-24,2024-03-30,5.5
T-0569,Spike,5,High,Team C,Backlog,1,4,2024-04-23,2024-04-28,4.85
T-0570,Feature,3,High,Team C,In Review,1,0,2024-05-11,2024-05-13,1.91
T-0571,Bug,3,Medium,Team A,In Progress,1,1,2024-06-14,2024-06-19,4.86
T-0572,Task,2,High,Team B,In Progress,2,4,2024-06-23,2024-06-28,4.93
T-0573,Feature,5,Medium,Team C,Backlog,3,5,2024-01-01,2024-01-08,6.61
T-0574,Bug,8,Medium,Team C,In Review,3,4,2024-05-10,2024-05-16,5.51
T-0575,Task,2,Medium,Team C,In Review,2,3,2024-03-26,2024-03-28,2.07
T-0576,Spike,1,Medium,Team A,In Progress,0,0,2024-03-02,2024-03-07,4.51
T-0577,Feature,1,Critical,Team A,In Progress,3,2,2024-03-04,2024-03-07,2.74
T-0578,Spike,5,Medium,Team B,Backlog,0,0,2024-05-24,2024-05-30,6.14
T-0579,Bug,5,Medium,Team B,Testing,3,2,2024-05-05,2024-05-13,7.61
T-0580,Feature,3,Medium,Team B,In Progress,0,1,2024-04-14,2024-04-21,6.93
T-0581,Bug,2,Low,Team B,Testing,2,1,2024-03-02,2024-03-08,5.75
T-0582,Spike,3,High,Team C,In Progress,1,4,2024-02-04,2024-02-10,5.74
T-0583,Bug,3,Medium,Team A,In Review,0,5,2024-01-13,2024-01-16,3.11
T-0584,Feature,3,Medium,Team C,In Review,1,1,2024-06-11,2024-06-15,4.04
T-0585,Bug,13,Medium,Team B,In Progress,0,4,2024-02-12,2024-02-24,12.3
T-0586,Feature,1,Medium,Team A,Testing,0,0,2024-05-09,2024-05-14,5.34
T-0587,Feature,5,Low,Team B,In Progress,0,1,2024-04-20,2024-05-02,11.57
T-0588,Feature,3,Medium,Team C,Backlog,0,0,2024-05-07,2024-05-11,4.01
T-0589,Feature,3,Medium,Team A,In Progress,0,0,2024-02-20,2024-02-26,5.64
T-0590,Feature,5,High,Team A,In Review,1,5,2024-05-23,2024-05-28,5.05
T-0591,Feature,5,High,Team C,In Progress,0,1,2024-05-25,2024-05-30,5.48
T-0592,Bug,13,High,Team A,Backlog,1,0,2024-05-14,2024-05-20,6.34
T-0593,Feature,1,Medium,Team B,In Progress,2,5,2024-02-14,2024-02-24,9.87
T-0594,Feature,1,Medium,Team B,In Progress,3,5,2024-06-12,2024-06-20,8.48
T-0595,Task,5,Low,Team B,In Progress,0,1,2024-06-17,2024-06-27,9.88
T-0596,Bug,3,High,Team B,In Progress,3,5,2024-02-11,2024-02-18,7.47
T-0597,Bug,2,Medium,Team A,In Review,1,1,2024-05-14,2024-05-17,3.04
T-0598,Feature,1,Medium,Team B,Backlog,2,1,2024-01-15,2024-01-21,5.52
T-0599,Feature,1,Medium,Team A,In Progress,2,2,2024-02-29,2024-03-05,5.0
T-0600,Feature,8,Low,Team B,In Progress,2,0,2024-02-09,2024-02-21,12.35
T-0601,Feature,2,Medium,Team A,Backlog,3,3,2024-06-13,2024-06-18,5.11
T-0602,Feature,2,Low,Team B,In Review,1,1,2024-04-21,2024-04-26,5.41
T-0603,Feature,2,High,Team A,Testing,0,0,2024-03-17,2024-03-19,2.18
T-0604,Feature,3,Medium,Team A,In Progress,0,5,2024-04-14,2024-04-23,8.94
T-0605,Feature,1,Low,Team A,In Review,1,4,2024-04-16,2024-04-21,4.85
T-0606,Bug,3,Medium,Team A,In Review,3,1,2024-05-01,2024-05-05,3.8
T-0607,Feature,1,Low,Team C,In Review,0,5,2024-03-20,2024-03-23,3.29
T-0608,Feature,8,Medium,Team A,Backlog,1,5,2024-05-04,2024-05-12,8.48
T-0609,Bug,2,High,Team C,Testing,0,5,2024-06-20,2024-06-24,3.56
T-0610,Bug,3,Low,Team C,In Progress,2,5,2024-05-13,2024-05-22,8.79
T-0611,Feature,8,High,Team B,In Progress,0,5,2024-02-01,2024-02-11,10.07
T-0612,Task,5,Low,Team A,Backlog,3,1,2024-04-17,2024-04-24,6.98
T-0613,Bug,3,Medium,Team A,In Progress,1,3,2024-04-23,2024-04-29,6.05
T-0614,Feature,2,High,Team C,Backlog,3,2,2024-05-25,2024-05-30,4.77
T-0615,Task,2,Medium,Team A,Backlog,1,5,2024-03-08,2024-03-12,4.17
T-0616,Spike,5,Low,Team A,In Progress,2,5,2024-05-06,2024-05-21,15.14
T-0617,Feature,13,Medium,Team B,In Review,1,2,2024-05-14,2024-05-22,7.75
T-0618,Feature,5,Medium,Team C,In Review,0,1,2024-04-23,2024-04-26,2.58
T-0619,Task,3,High,Team C,In Progress,0,0,2024-01-08,2024-01-12,4.26
